Fecha_Ocurrencia,Codigo_Accidente,Direccion,Barrio,Vehiculos Involucrados,Heridos,Accidente con,Muertes,Clase de Accidente,severidad,hora,dia_semana,mes,fin_semana,Año,Mes,Mes_nombre,lat,lon
2024-01-03,A001602262,CALLE 14A CARRERA 34   BACHUE,BACHUE,2,2,HERIDOS,0,CHOQUE,0,0,Wednesday,1,0,2024,1,enero,,
2024-01-06,A001602263,CALLE 14 CARRERA  28   SAN JOSÃ‰,SAN JOSÉ,2,3,HERIDOS,0,CHOQUE,0,0,Saturday,1,1,2024,1,enero,3.9904639,-73.770546
2024-01-09,A001602264,KILOMETRO 7+800 MTS,SIN INFORMACIÓN,1,1,HERIDOS,0,CHOQUE,0,0,Tuesday,1,0,2024,1,enero,,
2024-01-12,A001602265,AVENIDA 23 N. 24 - 07   LA TIZA,LA TIZA,2,2,HERIDOS,0,CHOQUE,0,0,Friday,1,0,2024,1,enero,,
2024-01-12,A001602266,KILOMETRO 3+500 MTS VIA CHICHIMENE ESTACION ACACIAS,SIN INFORMACIÓN,2,1,HERIDOS,0,CHOQUE,0,0,Friday,1,0,2024,1,enero,,
2024-01-15,A001602267,CALLE 13 N.22+48  -  COOPERATIVO,COOPERATIVO,1,1,HERIDOS,0,CHOQUE,0,0,Monday,1,0,2024,1,enero,3.9876057,-73.7645413
2024-01-17,A001602268,CALLE 18 N 21-56 -  MANCERA,MANCERA,2,1,HERIDOS,0,CHOQUE,0,0,Wednesday,1,0,2024,1,enero,3.9919826,-73.7594884
2024-01-27,A001602270,CALLE 10 N 23 -01  -  DORADO,DORADO,2,1,HERIDOS,0,CHOQUE,0,0,Saturday,1,1,2024,1,enero,3.9851539,-73.7681515
2021-01-26,A001602269,DIAGONAL 15 CARRERA 31 - VILLA DEL SOL  VEREDA,SIN INFORMACIÓN,1,0,MUERTOS,1,CHOQUE,1,0,Tuesday,1,0,2021,1,enero,,
2024-02-07,A001602271,AVENIDA 23 CARRERA  27 -,SIN INFORMACIÓN,2,1,HERIDOS,0,CHOQUE,0,0,Wednesday,2,0,2024,2,febrero,,
2024-02-12,A001602273,CALLE 11 CARRERA 23  -  DORADO,DORADO,2,1,HERIDOS,0,CHOQUE,0,0,Monday,2,0,2024,2,febrero,3.9851539,-73.7681515
2024-02-12,A001602272,AVENIDA 23 N. 5A-93 -  PABLO EMILIO RIVEROS,PABLO EMILIO RIVEROS,2,1,HERIDOS,0,CHOQUE,0,0,Monday,2,0,2024,2,febrero,3.9813847,-73.7668931
2024-02-14,A001602274,CALLE 18 CARRERA 14 -  SAN CRISTOBAL LOMA DE TIGRE,SAN CRISTOBAL,2,3,HERIDOS,0,CHOQUE,0,0,Wednesday,2,0,2024,2,febrero,4.0049364,-73.8336221
2024-02-15,A001602275,KILOMETRO 1+200 MTS   -,SIN INFORMACIÓN,2,1,HERIDOS,0,CHOQUE,0,0,Thursday,2,0,2024,2,febrero,,
2024-02-15,A001602276,CARRERA 23 N.17 -76  -  MANCERA,MANCERA,2,3,HERIDOS,0,CHOQUE,0,0,Thursday,2,0,2024,2,febrero,3.9919826,-73.7594884
2024-02-18,A001602278,CALLE 18 N-4-01  -  POPULAR,POPULAR,2,1,HERIDOS,0,CHOQUE,0,0,Sunday,2,1,2024,2,febrero,3.9854568,-73.7597031
2024-02-18,A001602277,CARRERA 23 N.16A-35  -  EL BOSQUE,EL BOSQUE,2,2,HERIDOS,0,CHOQUE,0,0,Sunday,2,1,2024,2,febrero,,
2024-02-20,A001602279,CALLE 12 CARRERA 26 -  DORADO,DORADO,2,1,HERIDOS,0,CHOQUE,0,0,Tuesday,2,0,2024,2,febrero,3.9851539,-73.7681515
2024-02-21,A001602280,CALLE 15 CARRERA 33 -,SIN INFORMACIÓN,2,1,HERIDOS,0,CHOQUE,0,0,Wednesday,2,0,2024,2,febrero,,
2024-02-22,A001602281,KILOMETRO 3 VIA ANTIGUA GUAMAL  -,SIN INFORMACIÓN,1,0,MUERTOS,1,CHOQUE,1,0,Thursday,2,0,2024,2,febrero,,
2024-02-24,A001602282,CALLE 17 CARRERA 6 -  POPULAR,POPULAR,2,3,HERIDOS,0,CHOQUE,0,0,Saturday,2,1,2024,2,febrero,3.9854568,-73.7597031
2024-02-27,C-001587577,KILOMETRO 57+100 MTS VIA GRANADA -VILLAVICENCIO  -,SIN INFORMACIÓN,2,0,MUERTOS,2,CHOQUE,1,0,Tuesday,2,0,2024,2,febrero,,
2024-03-03,A0001602263,KILOMETRO KM 7 VIA ANTIGUA GUAMAL  -,SIN INFORMACIÓN,2,2,HERIDOS,0,CHOQUE,0,0,Sunday,3,1,2024,3,marzo,,
2024-03-05,A0001602284,CALLE 15 CARRERA 47 -  COLINAS EL ROSARIO,COLINAS,2,1,HERIDOS,0,CHOQUE,0,0,Tuesday,3,0,2024,3,marzo,,
2024-03-11,A0001602285,CARRERA 33 CALLE  14A -  BACHUE,BACHUE,2,3,HERIDOS,0,CHOQUE,0,0,Monday,3,0,2024,3,marzo,,
2024-03-23,A001602286,CALLE 13 N 19-70  -,SIN INFORMACIÓN,1,1,MUERTOS,1,ATROPELLO,1,0,Saturday,3,1,2024,3,marzo,,
2024-03-29,A0001651928,KILOMETRO 0+400 MTS VIA ANTIGUA GUAMAL  -,SIN INFORMACIÓN,2,2,HERIDOS,0,CHOQUE,0,0,Friday,3,0,2024,3,marzo,,
2024-03-27,A0001602287,AVENIDA 23 CARRERA 27A -  VILLA LUCIA,VILLA LUCIA,2,1,HERIDOS,0,CHOQUE,0,0,Wednesday,3,0,2024,3,marzo,,
2024-03-30,A0001651929,CALLE 18 N 9-50  -  POPULAR,POPULAR,1,1,HERIDOS,0,ATROPELLO,0,0,Saturday,3,1,2024,3,marzo,3.9854568,-73.7597031
